Date,Net_Sales
2022-09-21,325757.71
2022-09-22,348307.34
2022-09-23,491363.83
2022-09-24,546395.71
2022-09-25,473643.4
2022-09-26,308720.35
2022-09-27,305562.45
2022-09-28,344337.66
2022-09-29,352580.46
2022-09-30,514419.42
2022-10-01,587921.33
2022-10-02,529564.61
2022-10-03,325520.05
2022-10-04,319641.31
2022-10-05,348527.71
2022-10-06,362816.88
2022-10-07,509178.41
2022-10-08,579312.03
2022-10-09,534558.41
2022-10-10,399291.23
2022-10-11,335043.62
2022-10-12,350335.24
2022-10-13,375717.82
2022-10-14,517972.32
2022-10-15,571860.0
2022-10-16,521796.17
2022-10-17,360412.48
2022-10-18,375588.65
2022-10-19,379937.61
2022-10-20,399951.52
2022-10-21,542420.18
2022-10-22,605897.93
2022-10-23,557787.37
2022-10-24,396376.43
2022-10-25,367036.69
2022-10-26,380979.52
2022-10-27,405802.98
2022-10-28,560642.36
2022-10-29,592417.59
2022-10-30,609217.83
2022-10-31,352609.61
2022-11-01,368744.9
2022-11-02,385307.45
2022-11-03,419441.13
2022-11-04,575852.78
2022-11-05,594659.11
2022-11-06,565143.72
2022-11-07,383799.94
2022-11-08,379560.27
2022-11-09,374510.96
2022-11-10,425368.31
2022-11-11,629791.1
2022-11-12,677748.96
2022-11-13,622228.08
2022-11-14,441124.99
2022-11-15,431124.24
2022-11-16,442737.7
2022-11-17,446451.51
2022-11-18,617207.16
2022-11-19,708289.41
2022-11-20,620695.07
2022-11-21,477208.38
2022-11-22,463028.32
2022-11-23,435537.75
2022-11-24,49443.84
2022-11-25,556227.72
2022-11-26,608392.22
2022-11-27,550766.31
2022-11-28,352498.71
2022-11-29,330551.56
2022-11-30,381369.17
2022-12-01,438028.57
2022-12-02,585521.22
2022-12-03,659684.49
2022-12-04,585313.0599999999
2022-12-05,374774.9
2022-12-06,371570.36
2022-12-07,384567.42
2022-12-08,406537.95
2022-12-09,568393.43
2022-12-10,674216.05
2022-12-11,627173.52
2022-12-12,406977.96
2022-12-13,394014.91
2022-12-14,436780.24
2022-12-15,477697.23
2022-12-16,624536.91
2022-12-17,696183.23
2022-12-18,643974.26
2022-12-19,533970.75
2022-12-20,518528.93
2022-12-21,516499.48
2022-12-22,556037.39
2022-12-23,644352.24
2022-12-24,357406.14
2022-12-25,8707.6
2022-12-26,666121.91
2022-12-27,595905.52
2022-12-28,575226.25
2022-12-29,583346.11
2022-12-30,674145.18
2022-12-31,514269.13
2023-01-01,693500.4
2023-01-02,603632.83
2023-01-03,400404.74
2023-01-04,401240.64
2023-01-05,429896.06
2023-01-06,567328.04
2023-01-07,658646.93
2023-01-08,569974.31
2023-01-09,358654.15
2023-01-10,365361.95
2023-01-11,370947.31
2023-01-12,404044.55
2023-01-13,605742.49
2023-01-14,709269.69
